"FIPS","GeoLevel","NAME","Qualified Area Name","Area (Land)","Area (Water)","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Median Household Income (In 2024 Inflation Adjusted Dollars)","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree"
Geo__geoid_,Geo__geo_level_,Geo_NAME,Geo_qname,Geo_AREALAND,Geo_AREAWATER,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14006_001,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008
"53033006000","SL140","Census Tract 60, King County, Washington","Census Tract 60, King County, Washington",1340654,160753,6343,4210,64,0,1167,0,193,709,160049,4995,122,4873,4664,3926,1529,386,167
"53033006100","SL140","Census Tract 61, King County, Washington","Census Tract 61, King County, Washington",1227698,652496,6360,4930,95,23,636,0,154,522,133307,4908,23,4885,4626,4177,1759,704,263
"53033006200","SL140","Census Tract 62, King County, Washington","Census Tract 62, King County, Washington",2437426,239356,4193,3125,232,7,475,0,0,354,250001,3268,53,3215,3054,2742,1480,686,289
"53033006300","SL140","Census Tract 63, King County, Washington","Census Tract 63, King County, Washington",2610569,3533560,6006,4989,36,0,435,0,0,546,225464,4480,74,4406,4311,3755,2162,708,206
"53033006400","SL140","Census Tract 64, King County, Washington","Census Tract 64, King County, Washington",903649,0,3631,2700,256,3,228,0,4,440,232426,2723,5,2718,2541,2388,1130,504,107
"53033006500","SL140","Census Tract 65, King County, Washington","Census Tract 65, King County, Washington",1147619,0,5052,3676,100,0,786,0,88,402,173350,4536,70,4466,4367,3691,1798,650,205
"53033006600","SL140","Census Tract 66, King County, Washington","Census Tract 66, King County, Washington",1117109,831139,4257,3106,86,46,252,37,180,550,120507,3724,37,3687,3537,2878,1263,538,277
"53033006701","SL140","Census Tract 67.01, King County, Washington","Census Tract 67.01, King County, Washington",380256,105441,3820,1693,0,0,1763,0,0,364,129438,3288,0,3288,3207,3008,1572,149,140
"53033006702","SL140","Census Tract 67.02, King County, Washington","Census Tract 67.02, King County, Washington",304748,0,2903,1452,133,0,969,6,9,334,131918,2635,57,2578,2462,2181,874,83,40
"53033006703","SL140","Census Tract 67.03, King County, Washington","Census Tract 67.03, King County, Washington",597133,0,3103,2188,25,0,339,0,26,525,129741,2618,23,2595,2495,2002,838,195,144
"53033006800","SL140","Census Tract 68, King County, Washington","Census Tract 68, King County, Washington",718106,0,3332,2451,106,0,285,0,37,453,153401,2634,22,2612,2531,2128,796,161,74
"53033006900","SL140","Census Tract 69, King County, Washington","Census Tract 69, King County, Washington",905121,0,4935,3752,58,0,558,0,29,538,183421,3253,35,3218,2946,2562,1318,297,44
"53033007001","SL140","Census Tract 70.01, King County, Washington","Census Tract 70.01, King County, Washington",358281,0,4215,2988,32,1,325,0,431,438,73946,3918,88,3830,3325,2499,1141,351,40
"53033007002","SL140","Census Tract 70.02, King County, Washington","Census Tract 70.02, King County, Washington",441021,0,4152,2508,228,0,563,6,105,742,110327,3676,219,3457,3216,2552,927,192,119
"53033007101","SL140","Census Tract 71.01, King County, Washington","Census Tract 71.01, King County, Washington",495054,0,3104,1434,150,0,804,9,63,644,122365,2724,49,2675,2560,2023,672,176,33
"53033007102","SL140","Census Tract 71.02, King County, Washington","Census Tract 71.02, King County, Washington",335908,0,2696,1415,138,22,877,23,9,212,129181,2361,71,2290,2223,1717,918,179,52
"53033007201","SL140","Census Tract 72.01, King County, Washington","Census Tract 72.01, King County, Washington",150744,0,5055,2017,132,0,2347,0,110,449,101737,4603,178,4425,4209,3780,2166,325,138
"53033007202","SL140","Census Tract 72.02, King County, Washington","Census Tract 72.02, King County, Washington",280585,0,3899,1870,40,0,1779,10,46,154,174706,3481,38,3443,3255,2736,1699,285,173
"53033007203","SL140","Census Tract 72.03, King County, Washington","Census Tract 72.03, King County, Washington",579631,0,3591,999,238,68,2006,0,36,244,137007,2733,11,2722,2487,2272,1341,308,257
"53033007301","SL140","Census Tract 73.01, King County, Washington","Census Tract 73.01, King County, Washington",250787,0,3682,1237,223,102,1743,0,15,362,145125,3017,73,2944,2733,2108,1277,302,152
"53033007302","SL140","Census Tract 73.02, King County, Washington","Census Tract 73.02, King County, Washington",312981,0,5243,1860,235,35,2522,7,132,452,205021,4566,118,4448,4298,3866,2621,378,101
"53033007303","SL140","Census Tract 73.03, King County, Washington","Census Tract 73.03, King County, Washington",313527,0,3961,1493,251,43,1828,0,109,237,164819,3422,14,3408,3103,2874,1499,365,177
"53033007403","SL140","Census Tract 74.03, King County, Washington","Census Tract 74.03, King County, Washington",118559,0,2946,1945,164,44,373,0,86,334,106846,2434,42,2392,2319,1868,506,192,0
"53033007404","SL140","Census Tract 74.04, King County, Washington","Census Tract 74.04, King County, Washington",153725,0,2645,2090,9,7,189,0,25,325,94458,2352,25,2327,2179,1740,682,199,67
"53033007405","SL140","Census Tract 74.05, King County, Washington","Census Tract 74.05, King County, Washington",131830,0,2429,1501,214,93,301,0,97,223,98750,2048,177,1871,1644,1144,479,148,100
"53033007406","SL140","Census Tract 74.06, King County, Washington","Census Tract 74.06, King County, Washington",150829,0,2749,1382,51,26,599,0,104,587,73788,2362,38,2324,2159,1513,650,260,160
"53033007501","SL140","Census Tract 75.01, King County, Washington","Census Tract 75.01, King County, Washington",298283,0,4413,2264,120,79,613,159,363,815,84977,3881,63,3818,3217,2509,1028,280,145
"53033007502","SL140","Census Tract 75.02, King County, Washington","Census Tract 75.02, King County, Washington",315931,0,3688,1999,200,58,558,31,114,728,109471,2964,0,2964,2709,2397,729,171,52
"53033007503","SL140","Census Tract 75.03, King County, Washington","Census Tract 75.03, King County, Washington",187541,0,2236,1346,84,29,558,0,52,167,93182,1699,0,1699,1628,1503,320,89,30
"53033007600","SL140","Census Tract 76, King County, Washington","Census Tract 76, King County, Washington",571882,0,4651,3757,140,0,511,0,3,240,128182,3712,33,3679,3472,3032,1353,448,161
"53033007700","SL140","Census Tract 77, King County, Washington","Census Tract 77, King County, Washington",1058322,0,5736,3973,221,31,486,0,43,982,182206,4290,6,4284,4049,3227,1676,558,389
"53033007800","SL140","Census Tract 78, King County, Washington","Census Tract 78, King County, Washington",2097741,3632914,5527,3882,494,35,374,0,108,634,205056,4197,72,4125,3932,3353,2091,792,205
"53033007901","SL140","Census Tract 79.01, King County, Washington","Census Tract 79.01, King County, Washington",267231,0,3009,1911,365,15,400,17,87,214,75042,2782,72,2710,2473,1957,686,246,118
"53033007902","SL140","Census Tract 79.02, King County, Washington","Census Tract 79.02, King County, Washington",431244,0,3652,2125,498,0,601,0,22,406,115745,3002,0,3002,2962,2159,909,192,37
"53033008002","SL140","Census Tract 80.02, King County, Washington","Census Tract 80.02, King County, Washington",234314,0,4415,2209,392,10,1093,0,154,557,124464,4032,104,3928,3589,2768,1284,249,164
"53033008003","SL140","Census Tract 80.03, King County, Washington","Census Tract 80.03, King County, Washington",197152,0,3912,1857,250,0,1155,0,325,325,127254,3702,124,3578,3311,2632,1078,180,117
"53033008004","SL140","Census Tract 80.04, King County, Washington","Census Tract 80.04, King County, Washington",284870,526540,3173,1567,104,0,1014,0,26,462,178185,3066,0,3066,2992,2651,1434,254,193
"53033008101","SL140","Census Tract 81.01, King County, Washington","Census Tract 81.01, King County, Washington",270324,277671,2854,1665,169,51,804,0,39,126,111346,2601,158,2443,2179,1639,942,338,102
"53033008102","SL140","Census Tract 81.02, King County, Washington","Census Tract 81.02, King County, Washington",556706,91220,3680,1816,350,37,1074,61,69,273,157898,3176,272,2904,2597,2111,1314,221,113
"53033008200","SL140","Census Tract 82, King County, Washington","Census Tract 82, King County, Washington",375785,0,4799,2150,358,10,1883,0,36,362,132924,4075,14,4061,3884,3235,1395,366,236
"53033008300","SL140","Census Tract 83, King County, Washington","Census Tract 83, King County, Washington",237955,0,3631,1962,142,18,951,23,105,430,94365,3050,133,2917,2703,2052,917,320,96
"53033008401","SL140","Census Tract 84.01, King County, Washington","Census Tract 84.01, King County, Washington",250921,0,3666,2197,46,26,897,43,53,404,96492,2937,42,2895,2640,1979,890,234,141
"53033008402","SL140","Census Tract 84.02, King County, Washington","Census Tract 84.02, King County, Washington",145446,0,3150,1978,231,46,398,0,33,464,85587,2726,0,2726,2656,2001,627,230,32
"53033008500","SL140","Census Tract 85, King County, Washington","Census Tract 85, King County, Washington",450978,0,4649,2013,872,31,843,22,485,383,61199,3550,472,3078,2228,1440,625,237,134
"53033008600","SL140","Census Tract 86, King County, Washington","Census Tract 86, King County, Washington",711350,0,7188,3134,544,11,1907,15,224,1353,75313,4390,24,4366,4181,3174,1237,359,53
"53033008700","SL140","Census Tract 87, King County, Washington","Census Tract 87, King County, Washington",732385,0,4975,3272,532,10,573,0,102,486,166585,3758,146,3612,3340,2457,1281,458,260
"53033008800","SL140","Census Tract 88, King County, Washington","Census Tract 88, King County, Washington",948581,0,4519,2598,823,21,333,0,369,375,145119,3372,169,3203,2883,2166,999,411,124
"53033008900","SL140","Census Tract 89, King County, Washington","Census Tract 89, King County, Washington",1270034,1798066,6545,3634,826,0,612,0,353,1120,102818,4970,356,4614,3939,3185,1224,463,122
"53033009000","SL140","Census Tract 90, King County, Washington","Census Tract 90, King County, Washington",855872,0,4393,1886,563,8,1006,15,213,702,78995,3659,223,3436,2877,2197,720,232,105
"53033009100","SL140","Census Tract 91, King County, Washington","Census Tract 91, King County, Washington",410621,0,3474,911,209,10,1904,76,51,313,39788,2937,767,2170,1850,1297,457,280,74
"53033009200","SL140","Census Tract 92, King County, Washington","Census Tract 92, King County, Washington",338451,154864,3236,1475,327,12,847,8,77,490,35014,2908,608,2300,1570,847,248,0,0
"53033009300","SL140","Census Tract 93, King County, Washington","Census Tract 93, King County, Washington",9463717,619441,3191,1523,195,62,574,31,102,704,124318,2680,116,2564,2131,1522,701,218,71
"53033009400","SL140","Census Tract 94, King County, Washington","Census Tract 94, King County, Washington",1686311,0,6702,2881,748,47,1470,123,269,1164,95038,5441,513,4928,4181,3265,1505,213,98
"53033009500","SL140","Census Tract 95, King County, Washington","Census Tract 95, King County, Washington",2591116,2922873,7105,3161,1155,73,1534,0,447,735,143676,5654,530,5124,4635,3666,1734,450,162
"53033009600","SL140","Census Tract 96, King County, Washington","Census Tract 96, King County, Washington",1904920,1387225,6068,4738,195,0,430,4,67,634,148125,5161,58,5103,4598,3660,1685,621,156
"53033009701","SL140","Census Tract 97.01, King County, Washington","Census Tract 97.01, King County, Washington",1861358,1607123,6387,4464,701,51,507,0,40,624,119384,4932,132,4800,4225,3196,1496,372,187
"53033009702","SL140","Census Tract 97.02, King County, Washington","Census Tract 97.02, King County, Washington",2220442,0,5915,4805,32,0,345,0,8,725,162174,4241,85,4156,3736,3117,1387,339,72
"53033009801","SL140","Census Tract 98.01, King County, Washington","Census Tract 98.01, King County, Washington",1004708,0,3637,2976,139,0,69,0,12,441,100162,2600,78,2522,2326,1634,724,279,72
"53033009802","SL140","Census Tract 98.02, King County, Washington","Census Tract 98.02, King County, Washington",922319,0,4362,3002,247,133,550,0,67,363,125774,3280,73,3207,2985,2260,765,205,35
"53033009900","SL140","Census Tract 99, King County, Washington","Census Tract 99, King County, Washington",6536636,2399271,6421,3973,383,0,792,17,353,903,127557,5294,74,5220,4707,3299,1399,296,53
"53033010001","SL140","Census Tract 100.01, King County, Washington","Census Tract 100.01, King County, Washington",2326947,0,4457,1418,1222,2,1117,100,294,304,89444,3160,525,2635,2158,1490,614,134,49
"53033010002","SL140","Census Tract 100.02, King County, Washington","Census Tract 100.02, King County, Washington",948077,0,4801,2330,257,21,1208,20,264,701,114796,4050,240,3810,3338,2567,1013,255,177
"53033010101","SL140","Census Tract 101.01, King County, Washington","Census Tract 101.01, King County, Washington",871622,0,4474,1989,1190,18,619,0,153,505,50227,2886,495,2391,2186,1347,551,158,17
"53033010102","SL140","Census Tract 101.02, King County, Washington","Census Tract 101.02, King County, Washington",1623225,2170065,4987,2809,340,39,838,8,143,810,120313,3930,322,3608,2814,2415,1174,478,191
"53033010200","SL140","Census Tract 102, King County, Washington","Census Tract 102, King County, Washington",2795533,2076618,5610,3564,594,32,751,0,66,603,197313,4122,78,4044,3881,3113,1296,462,163
"53033010301","SL140","Census Tract 103.01, King County, Washington","Census Tract 103.01, King County, Washington",1002658,0,4389,1937,1193,0,766,0,36,457,150625,3262,208,3054,2486,2003,1055,180,29
"53033010302","SL140","Census Tract 103.02, King County, Washington","Census Tract 103.02, King County, Washington",632167,0,3461,2225,200,23,688,0,55,270,125898,2952,93,2859,2783,2511,1035,305,94
"53033010401","SL140","Census Tract 104.01, King County, Washington","Census Tract 104.01, King County, Washington",1630437,0,4496,1230,516,173,1916,0,211,450,131625,3347,401,2946,2362,1608,493,122,51
"53033010402","SL140","Census Tract 104.02, King County, Washington","Census Tract 104.02, King County, Washington",1742875,0,4993,1271,404,9,2799,2,97,411,112400,3709,443,3266,2222,1511,524,197,56
"53033010501","SL140","Census Tract 105.01, King County, Washington","Census Tract 105.01, King County, Washington",742016,0,4309,2898,429,0,172,25,252,533,113056,3705,68,3637,3233,2375,860,312,200
"53033010502","SL140","Census Tract 105.02, King County, Washington","Census Tract 105.02, King County, Washington",975912,0,5815,4418,290,0,207,0,246,654,124430,4992,151,4841,4098,2802,1398,506,161
"53033010601","SL140","Census Tract 106.01, King County, Washington","Census Tract 106.01, King County, Washington",1089233,0,4288,3268,107,0,212,83,232,386,144944,3656,11,3645,3344,2297,966,187,41
"53033010602","SL140","Census Tract 106.02, King County, Washington","Census Tract 106.02, King County, Washington",1505061,817134,4035,3422,42,0,137,0,16,418,108568,3221,87,3134,2946,2224,702,278,108
"53033010701","SL140","Census Tract 107.01, King County, Washington","Census Tract 107.01, King County, Washington",1457384,3664,4398,1879,1299,44,372,0,248,556,132692,3116,148,2968,2221,1437,659,86,24
"53033010702","SL140","Census Tract 107.02, King County, Washington","Census Tract 107.02, King County, Washington",780117,0,4939,2139,1293,84,865,14,13,531,113750,3246,211,3035,2422,1774,723,164,100
"53033010800","SL140","Census Tract 108, King County, Washington","Census Tract 108, King County, Washington",4140525,322633,5105,2451,513,60,1036,0,159,886,155865,3760,189,3571,3011,2013,506,75,37
"53033010900","SL140","Census Tract 109, King County, Washington","Census Tract 109, King County, Washington",5389781,414929,1295,797,36,26,205,0,7,224,79750,1169,82,1087,845,584,117,23,17
"53033011001","SL140","Census Tract 110.01, King County, Washington","Census Tract 110.01, King County, Washington",1080391,0,5216,696,1728,23,2327,0,97,345,51778,3782,968,2814,1898,1082,396,59,15
"53033011002","SL140","Census Tract 110.02, King County, Washington","Census Tract 110.02, King County, Washington",1719569,0,4936,621,1420,0,2379,14,200,302,94648,2968,674,2294,1363,824,338,173,55
"53033011101","SL140","Census Tract 111.01, King County, Washington","Census Tract 111.01, King County, Washington",1136850,0,4762,1879,746,130,969,29,378,631,89170,3705,218,3487,2587,1737,664,71,10
"53033011102","SL140","Census Tract 111.02, King County, Washington","Census Tract 111.02, King County, Washington",1303226,1143440,5525,2324,852,0,1174,0,359,816,120895,4044,129,3915,2911,2140,745,236,146
"53033011200","SL140","Census Tract 112, King County, Washington","Census Tract 112, King County, Washington",2483779,139646,4141,1592,562,212,809,7,213,746,109805,2720,467,2253,1758,1162,523,190,25
