"FIPS","GeoLevel","NAME","Qualified Area Name","Area (Land)","Area (Water)","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Median Household Income (In 2024 Inflation Adjusted Dollars)","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree"
Geo__geoid_,Geo__geo_level_,Geo_NAME,Geo_qname,Geo_AREALAND,Geo_AREAWATER,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14006_001,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008
"53033011902","SL140","Census Tract 119.02, King County, Washington","Census Tract 119.02, King County, Washington",1580685,1217487,3140,1253,386,5,1153,0,63,280,142689,2564,208,2356,1892,1187,342,110,77
"53033012000","SL140","Census Tract 120, King County, Washington","Census Tract 120, King County, Washington",1437049,0,3340,2632,2,23,107,0,218,358,120398,2441,61,2380,2180,1591,524,70,23
"53033012100","SL140","Census Tract 121, King County, Washington","Census Tract 121, King County, Washington",1739952,1380849,2784,2090,46,0,241,0,28,379,179250,2146,0,2146,2065,1634,664,268,101
"53033020100","SL140","Census Tract 201, King County, Washington","Census Tract 201, King County, Washington",1766031,691541,3545,2729,25,0,545,0,25,221,166836,2794,37,2757,2549,1870,764,160,37
"53033020200","SL140","Census Tract 202, King County, Washington","Census Tract 202, King County, Washington",2591505,0,5878,4306,296,36,498,0,114,628,119444,4680,267,4413,3640,2513,1203,491,238
"53033020301","SL140","Census Tract 203.01, King County, Washington","Census Tract 203.01, King County, Washington",1262276,35402,3421,1950,142,0,563,0,288,478,88250,2682,302,2380,1962,1139,450,72,34
"53033020302","SL140","Census Tract 203.02, King County, Washington","Census Tract 203.02, King County, Washington",1294791,10048,4151,2118,323,0,857,0,187,666,99776,3231,221,3010,2513,1610,476,138,86
"53033020401","SL140","Census Tract 204.01, King County, Washington","Census Tract 204.01, King County, Washington",2313023,0,4616,2939,321,53,614,0,224,465,102237,3331,192,3139,2363,1281,387,115,67
"53033020402","SL140","Census Tract 204.02, King County, Washington","Census Tract 204.02, King County, Washington",2789589,0,5602,3807,108,91,637,4,153,802,121212,3856,116,3740,3200,2224,1019,421,226
"53033020500","SL140","Census Tract 205, King County, Washington","Census Tract 205, King County, Washington",2722041,0,7825,4601,434,0,1379,0,213,1198,134688,5699,325,5374,4774,3273,1055,216,67
"53033020600","SL140","Census Tract 206, King County, Washington","Census Tract 206, King County, Washington",1980828,0,4036,2194,475,123,805,0,168,271,166611,2906,155,2751,2373,1540,453,141,41
"53033020700","SL140","Census Tract 207, King County, Washington","Census Tract 207, King County, Washington",1711190,0,4334,2411,462,180,507,0,401,373,88686,3485,122,3363,2560,1479,374,105,77
"53033020800","SL140","Census Tract 208, King County, Washington","Census Tract 208, King County, Washington",3299066,698711,4878,3514,113,6,490,12,165,578,173015,3655,125,3530,2977,2251,1113,492,221
"53033020900","SL140","Census Tract 209, King County, Washington","Census Tract 209, King County, Washington",4540884,636482,4300,2508,155,11,880,0,263,483,101373,3367,215,3152,2855,2099,1002,380,194
"53033021000","SL140","Census Tract 210, King County, Washington","Census Tract 210, King County, Washington",2629269,5753,5946,3556,1117,15,706,0,0,552,116203,4761,370,4391,3844,2310,870,179,112
"53033021100","SL140","Census Tract 211, King County, Washington","Census Tract 211, King County, Washington",2619718,0,4357,3079,144,0,700,0,91,343,126563,3517,248,3269,2679,1813,692,185,150
"53033021300","SL140","Census Tract 213, King County, Washington","Census Tract 213, King County, Washington",1784010,1204136,4310,2509,564,0,722,3,180,332,132292,3348,142,3206,2921,2191,1018,300,213
"53033021400","SL140","Census Tract 214, King County, Washington","Census Tract 214, King County, Washington",3136342,265701,3763,3050,0,50,286,6,150,221,159056,2736,68,2668,2413,1792,802,313,97
"53033021500","SL140","Census Tract 215, King County, Washington","Census Tract 215, King County, Washington",3457611,438417,4613,3169,78,0,341,74,32,919,198980,3256,61,3195,2871,2290,1023,402,259
"53033021600","SL140","Census Tract 216, King County, Washington","Census Tract 216, King County, Washington",2863323,163654,5774,4033,172,33,585,0,52,899,142040,4101,198,3903,3494,2678,1083,376,154
"53033021701","SL140","Census Tract 217.01, King County, Washington","Census Tract 217.01, King County, Washington",2573147,0,4818,2462,259,1,1222,0,188,686,183424,3502,98,3404,2978,2246,1174,480,296
"53033021702","SL140","Census Tract 217.02, King County, Washington","Census Tract 217.02, King County, Washington",3048769,0,4876,2854,185,6,1009,3,201,618,73649,3644,133,3511,2873,1907,734,121,110
"53033021802","SL140","Census Tract 218.02, King County, Washington","Census Tract 218.02, King County, Washington",4891442,0,6117,3993,91,29,1148,20,216,620,159612,4060,34,4026,3494,2386,1066,121,96
"53033021803","SL140","Census Tract 218.03, King County, Washington","Census Tract 218.03, King County, Washington",3273126,0,7097,5481,60,0,1092,0,148,316,131090,5300,66,5234,4813,3204,1373,250,189
"53033021804","SL140","Census Tract 218.04, King County, Washington","Census Tract 218.04, King County, Washington",3100405,0,5589,4023,90,0,796,0,108,572,132533,3789,332,3457,3195,2179,816,218,119
"53033021903","SL140","Census Tract 219.03, King County, Washington","Census Tract 219.03, King County, Washington",3175189,10680,6948,4006,417,0,1392,0,289,844,97411,5137,246,4891,4298,3001,1213,243,195
"53033021904","SL140","Census Tract 219.04, King County, Washington","Census Tract 219.04, King County, Washington",3419305,0,5670,2924,45,25,1995,0,256,425,180035,3808,219,3589,3136,2314,839,214,161
"53033021905","SL140","Census Tract 219.05, King County, Washington","Census Tract 219.05, King County, Washington",2683420,0,5756,3461,3,88,1012,75,224,893,136786,4192,120,4072,3612,2594,838,131,69
"53033021906","SL140","Census Tract 219.06, King County, Washington","Census Tract 219.06, King County, Washington",3783792,0,4566,2371,44,12,1471,0,155,513,157273,3280,52,3228,2974,2286,903,257,149
"53033022001","SL140","Census Tract 220.01, King County, Washington","Census Tract 220.01, King County, Washington",4477538,0,5137,3563,17,13,875,0,104,565,116154,4060,236,3824,3476,2588,1007,136,67
"53033022003","SL140","Census Tract 220.03, King County, Washington","Census Tract 220.03, King County, Washington",2254685,0,5310,3679,72,101,660,0,201,597,142155,3943,65,3878,3421,2612,923,92,73
"53033022005","SL140","Census Tract 220.05, King County, Washington","Census Tract 220.05, King County, Washington",2421648,0,4557,2504,127,89,1095,0,198,544,134183,3428,26,3402,2910,1869,610,100,86
"53033022006","SL140","Census Tract 220.06, King County, Washington","Census Tract 220.06, King County, Washington",1409940,0,4541,2781,10,0,1272,0,100,378,139125,3747,127,3620,3084,2197,827,194,141
"53033022101","SL140","Census Tract 221.01, King County, Washington","Census Tract 221.01, King County, Washington",3593798,1650543,5070,3956,84,19,451,0,118,442,174891,3789,115,3674,3490,2569,1035,371,250
"53033022102","SL140","Census Tract 221.02, King County, Washington","Census Tract 221.02, King County, Washington",4679991,0,6641,4004,27,10,1465,0,136,999,186641,4639,182,4457,3964,2783,1168,443,248
"53033022201","SL140","Census Tract 222.01, King County, Washington","Census Tract 222.01, King County, Washington",2290375,0,4371,3211,41,0,552,0,70,497,132500,3298,175,3123,2638,1638,539,109,70
"53033022203","SL140","Census Tract 222.03, King County, Washington","Census Tract 222.03, King County, Washington",3134027,691133,5665,3740,0,0,1357,0,23,545,142895,4191,52,4139,3851,3237,1354,403,251
"53033022204","SL140","Census Tract 222.04, King County, Washington","Census Tract 222.04, King County, Washington",1603105,0,3247,2335,3,0,451,7,123,328,146319,2334,55,2279,1979,1441,484,105,69
"53033022205","SL140","Census Tract 222.05, King County, Washington","Census Tract 222.05, King County, Washington",1010783,0,4201,2922,125,0,550,0,89,515,126393,3123,88,3035,2802,2008,695,150,41
"53033022300","SL140","Census Tract 223, King County, Washington","Census Tract 223, King County, Washington",5086241,5522889,2699,1924,76,0,461,0,0,238,204844,2047,27,2020,1903,1491,746,158,41
"53033022401","SL140","Census Tract 224.01, King County, Washington","Census Tract 224.01, King County, Washington",2402497,0,3570,2603,0,0,384,0,202,381,147344,2588,86,2502,2367,2000,829,200,111
"53033022402","SL140","Census Tract 224.02, King County, Washington","Census Tract 224.02, King County, Washington",2219491,4175839,5964,4946,1,16,397,0,120,484,143125,4622,62,4560,4218,3618,1517,461,246
"53033022501","SL140","Census Tract 225.01, King County, Washington","Census Tract 225.01, King County, Washington",2472563,0,4475,2868,278,69,743,8,196,313,217011,2982,70,2912,2783,2273,1256,417,268
"53033022502","SL140","Census Tract 225.02, King County, Washington","Census Tract 225.02, King County, Washington",1264562,230572,4429,2824,0,0,710,0,151,744,155417,3707,0,3707,3190,2413,1157,244,142
"53033022603","SL140","Census Tract 226.03, King County, Washington","Census Tract 226.03, King County, Washington",2888543,23234,5991,3098,221,0,1991,0,82,599,155000,4468,89,4379,4109,3120,1690,406,262
"53033022604","SL140","Census Tract 226.04, King County, Washington","Census Tract 226.04, King County, Washington",2951989,0,5142,3082,109,13,1338,0,92,508,226058,3688,90,3598,3364,2775,1204,275,232
"53033022605","SL140","Census Tract 226.05, King County, Washington","Census Tract 226.05, King County, Washington",4726391,0,7324,3927,25,0,1930,0,472,970,121371,5246,350,4896,4119,2833,1204,213,117
"53033022606","SL140","Census Tract 226.06, King County, Washington","Census Tract 226.06, King County, Washington",2758122,27137,6087,2902,84,43,2513,0,111,434,165707,4455,41,4414,4075,3216,1837,335,223
"53033022701","SL140","Census Tract 227.01, King County, Washington","Census Tract 227.01, King County, Washington",1607173,600718,3049,2106,67,12,663,0,14,187,184125,2433,46,2387,2292,1837,792,197,73
"53033022702","SL140","Census Tract 227.02, King County, Washington","Census Tract 227.02, King County, Washington",2457572,0,4194,2842,41,13,760,0,94,444,236797,2509,53,2456,2231,1808,946,274,129
"53033022703","SL140","Census Tract 227.03, King County, Washington","Census Tract 227.03, King County, Washington",4190224,0,2985,1776,8,5,580,0,247,369,245036,1989,15,1974,1836,1489,640,199,118
"53033022802","SL140","Census Tract 228.02, King County, Washington","Census Tract 228.02, King County, Washington",2660767,0,6701,3040,45,13,2515,0,494,594,168280,4749,315,4434,3979,3135,1633,239,100
"53033022803","SL140","Census Tract 228.03, King County, Washington","Census Tract 228.03, King County, Washington",4772681,0,8604,3155,407,0,4657,0,187,198,175278,6442,132,6310,6047,5352,3283,159,102
"53033022804","SL140","Census Tract 228.04, King County, Washington","Census Tract 228.04, King County, Washington",1021696,0,4654,1622,172,0,2307,222,38,293,107038,3407,100,3307,3078,2364,1466,48,48
"53033022805","SL140","Census Tract 228.05, King County, Washington","Census Tract 228.05, King County, Washington",3842917,0,3430,1231,24,0,1959,0,25,191,163936,2751,26,2725,2577,2167,1332,249,85
"53033022901","SL140","Census Tract 229.01, King County, Washington","Census Tract 229.01, King County, Washington",1485132,0,3178,1979,0,0,977,5,60,157,188672,2336,107,2229,2001,1747,788,260,186
"53033022902","SL140","Census Tract 229.02, King County, Washington","Census Tract 229.02, King County, Washington",3537566,1705282,6762,4430,6,0,1722,0,106,498,211797,4811,85,4726,4573,3723,1706,381,283
"53033023000","SL140","Census Tract 230, King County, Washington","Census Tract 230, King County, Washington",3328630,2210425,7398,3432,52,16,2605,0,216,1077,184332,5344,292,5052,4680,3694,1549,397,238
"53033023100","SL140","Census Tract 231, King County, Washington","Census Tract 231, King County, Washington",2529558,1838407,4039,2237,87,11,1358,0,20,326,206705,2921,58,2863,2613,2275,1118,373,216
"53033023201","SL140","Census Tract 232.01, King County, Washington","Census Tract 232.01, King County, Washington",1569244,0,6256,1642,146,0,4002,0,88,378,116683,4584,199,4385,3676,3354,1616,126,98
"53033023202","SL140","Census Tract 232.02, King County, Washington","Census Tract 232.02, King County, Washington",1491213,0,5554,1809,201,10,2087,0,1092,355,99436,3889,505,3384,3063,1968,797,261,170
"53033023300","SL140","Census Tract 233, King County, Washington","Census Tract 233, King County, Washington",3589675,248744,7388,3538,806,0,1950,0,154,940,180928,5396,348,5048,4558,3371,1467,287,142
"53033023401","SL140","Census Tract 234.01, King County, Washington","Census Tract 234.01, King County, Washington",3707559,0,4546,1412,64,0,2041,0,297,732,171144,3223,268,2955,2631,2173,1120,277,120
"53033023403","SL140","Census Tract 234.03, King County, Washington","Census Tract 234.03, King County, Washington",3354192,1962037,4076,2208,52,18,1398,0,75,325,172891,2857,59,2798,2613,2067,1022,278,112
"53033023404","SL140","Census Tract 234.04, King County, Washington","Census Tract 234.04, King County, Washington",1838932,1746971,3575,2577,91,0,536,51,100,220,193750,2408,37,2371,2191,1752,554,115,0
"53033023500","SL140","Census Tract 235, King County, Washington","Census Tract 235, King County, Washington",2443751,0,4027,2279,142,2,1151,74,103,276,157102,3075,62,3013,2766,1866,849,303,130
"53033023601","SL140","Census Tract 236.01, King County, Washington","Census Tract 236.01, King County, Washington",4627060,0,4782,2167,101,37,1930,0,78,469,163646,3705,116,3589,3176,2435,1223,361,198
"53033023603","SL140","Census Tract 236.03, King County, Washington","Census Tract 236.03, King County, Washington",2017794,0,6176,1441,516,0,2873,0,107,1239,134733,4354,550,3804,3549,2932,1439,290,155
"53033023604","SL140","Census Tract 236.04, King County, Washington","Census Tract 236.04, King County, Washington",2904410,0,6594,2476,162,14,2722,0,758,462,125000,4732,419,4313,3867,3203,1317,276,152
"53033023701","SL140","Census Tract 237.01, King County, Washington","Census Tract 237.01, King County, Washington",4192704,0,4344,2256,34,20,1483,69,73,409,215938,3334,77,3257,3043,2625,1327,600,282
"53033023702","SL140","Census Tract 237.02, King County, Washington","Census Tract 237.02, King County, Washington",3498742,18268,1404,353,61,0,958,0,0,32,138702,1047,16,1031,1017,918,462,25,25
"53033023801","SL140","Census Tract 238.01, King County, Washington","Census Tract 238.01, King County, Washington",3621819,0,3307,1379,0,0,1611,41,47,229,140375,2493,31,2462,2338,2020,1067,299,176
"53033023805","SL140","Census Tract 238.05, King County, Washington","Census Tract 238.05, King County, Washington",329175,0,3877,1181,42,0,1987,0,61,606,170134,3098,116,2982,2692,2282,1470,268,173
"53033023806","SL140","Census Tract 238.06, King County, Washington","Census Tract 238.06, King County, Washington",234791,0,4006,1429,136,0,2177,0,202,62,168782,3482,10,3472,3329,3001,1663,485,175
"53033023807","SL140","Census Tract 238.07, King County, Washington","Census Tract 238.07, King County, Washington",886421,0,5905,2525,86,15,2637,0,58,584,200428,5410,158,5252,4928,4200,2284,367,194
"53033023808","SL140","Census Tract 238.08, King County, Washington","Census Tract 238.08, King County, Washington",308971,0,2372,694,107,4,1244,0,58,265,150438,2057,0,2057,1947,1743,1023,183,158
"53033023901","SL140","Census Tract 239.01, King County, Washington","Census Tract 239.01, King County, Washington",2453360,1775304,4678,2403,85,27,1272,0,187,704,173365,3362,16,3346,2891,2632,1381,332,142
"53033023902","SL140","Census Tract 239.02, King County, Washington","Census Tract 239.02, King County, Washington",2487393,2333165,2709,1621,0,0,897,0,0,191,250001,1967,59,1908,1721,1478,693,324,86
"53033024001","SL140","Census Tract 240.01, King County, Washington","Census Tract 240.01, King County, Washington",2811309,0,4566,2227,85,0,1991,0,32,231,171146,3206,56,3150,2734,2258,1100,305,187
"53033024002","SL140","Census Tract 240.02, King County, Washington","Census Tract 240.02, King County, Washington",1624655,240155,4184,1934,2,0,2013,0,28,207,166410,2936,96,2840,2646,2258,1312,391,123
"53033024100","SL140","Census Tract 241, King County, Washington","Census Tract 241, King County, Washington",4469122,1617421,4606,2525,0,18,1564,3,25,471,250001,3336,41,3295,3177,2695,1458,588,234
"53033024200","SL140","Census Tract 242, King County, Washington","Census Tract 242, King County, Washington",3704669,11442081,2928,1698,0,5,843,0,18,364,250001,2029,24,2005,1940,1777,982,382,106
"53033024301","SL140","Census Tract 243.01, King County, Washington","Census Tract 243.01, King County, Washington",1382488,0,5088,3095,67,0,1355,0,11,560,113824,4036,101,3935,3537,2847,1495,687,425
"53033024302","SL140","Census Tract 243.02, King County, Washington","Census Tract 243.02, King County, Washington",2777507,8215201,3744,2795,17,0,552,0,33,347,250001,2754,26,2728,2617,2213,1423,738,402
"53033024400","SL140","Census Tract 244, King County, Washington","Census Tract 244, King County, Washington",1670874,514969,3252,1469,34,0,1434,0,0,315,132625,2269,94,2175,2033,1685,808,289,137
"53033024500","SL140","Census Tract 245, King County, Washington","Census Tract 245, King County, Washington",3838553,1901481,4966,2971,76,6,1275,0,85,553,250001,3478,49,3429,3307,2990,1481,702,252
"53033024601","SL140","Census Tract 246.01, King County, Washington","Census Tract 246.01, King County, Washington",3968267,2707956,4772,3493,7,0,752,0,72,448,250001,3281,0,3281,3197,2941,1673,889,359
"53033024602","SL140","Census Tract 246.02, King County, Washington","Census Tract 246.02, King County, Washington",2893264,3542007,3485,2262,33,0,837,0,16,337,250001,2412,21,2391,2328,2172,1264,477,81
"53033024701","SL140","Census Tract 247.01, King County, Washington","Census Tract 247.01, King County, Washington",2637026,0,3721,1384,87,0,1888,5,139,218,152528,2671,131,2540,2363,1898,889,179,113
"53033024703","SL140","Census Tract 247.03, King County, Washington","Census Tract 247.03, King County, Washington",3750918,0,4075,2062,79,0,1668,0,35,231,213309,2971,21,2950,2724,2095,734,230,198
"53033024704","SL140","Census Tract 247.04, King County, Washington","Census Tract 247.04, King County, Washington",2649459,804870,4214,1779,100,0,1141,0,173,1021,180625,2892,154,2738,2530,2017,788,232,103
"53033024800","SL140","Census Tract 248, King County, Washington","Census Tract 248, King County, Washington",3770491,0,6459,2854,141,18,2375,0,216,855,134038,4765,267,4498,3774,2676,970,237,117
"53033024901","SL140","Census Tract 249.01, King County, Washington","Census Tract 249.01, King County, Washington",3024840,0,4849,1348,7,48,3152,0,103,191,219539,3281,100,3181,3031,2565,1335,458,307
"53033024902","SL140","Census Tract 249.02, King County, Washington","Census Tract 249.02, King County, Washington",2029991,0,4349,1966,106,9,1876,0,125,267,242500,2864,73,2791,2718,2398,1346,464,148
"53033024904","SL140","Census Tract 249.04, King County, Washington","Census Tract 249.04, King County, Washington",2083512,0,2909,648,107,0,1991,15,5,143,250001,2164,64,2100,2003,1750,1020,381,289
"53033024905","SL140","Census Tract 249.05, King County, Washington","Census Tract 249.05, King County, Washington",2880072,0,3796,1299,0,0,2065,0,92,340,240568,2864,56,2808,2765,2460,1257,484,92
"53033025001","SL140","Census Tract 250.01, King County, Washington","Census Tract 250.01, King County, Washington",3661199,64377,5599,2179,105,6,2332,28,447,502,167917,4067,196,3871,3401,2642,1270,286,203
"53033025005","SL140","Census Tract 250.05, King County, Washington","Census Tract 250.05, King County, Washington",7684828,0,6352,2176,344,0,2720,0,48,1064,155855,4442,135,4307,3990,3176,1350,268,128
"53033025006","SL140","Census Tract 250.06, King County, Washington","Census Tract 250.06, King County, Washington",22409781,0,6731,3558,86,0,2309,65,91,622,186278,5114,163,4951,4685,3788,1776,420,204
"53033025007","SL140","Census Tract 250.07, King County, Washington","Census Tract 250.07, King County, Washington",4176855,0,4791,2220,383,11,1570,31,107,469,140685,3368,179,3189,2934,2260,937,366,93
"53033025008","SL140","Census Tract 250.08, King County, Washington","Census Tract 250.08, King County, Washington",2260533,0,2533,1510,3,0,877,0,10,133,250001,1850,6,1844,1692,1478,909,237,59
"53033025101","SL140","Census Tract 251.01, King County, Washington","Census Tract 251.01, King County, Washington",2935517,0,6208,2959,80,0,1484,0,502,1183,128447,4315,575,3740,2998,1990,835,136,134
"53033025103","SL140","Census Tract 251.03, King County, Washington","Census Tract 251.03, King County, Washington",1599178,0,4243,1474,151,0,1827,0,278,513,139167,3103,108,2995,2252,1662,664,240,143
"53033025104","SL140","Census Tract 251.04, King County, Washington","Census Tract 251.04, King County, Washington",4632994,0,4358,1229,182,9,2025,0,110,803,190640,2742,309,2433,1976,1511,429,130,31
"53033025201","SL140","Census Tract 252.01, King County, Washington","Census Tract 252.01, King County, Washington",1699715,0,3807,1529,338,6,1510,0,39,385,126786,2901,366,2535,1976,1086,494,180,87
"53033025202","SL140","Census Tract 252.02, King County, Washington","Census Tract 252.02, King County, Washington",2767327,0,4609,2143,193,14,913,76,200,1070,120359,3561,557,3004,2287,1296,472,65,40
"53033025302","SL140","Census Tract 253.02, King County, Washington","Census Tract 253.02, King County, Washington",4025029,2443067,4921,2525,622,81,970,46,207,470,58243,4113,430,3683,2670,1224,298,103,0
"53033025303","SL140","Census Tract 253.03, King County, Washington","Census Tract 253.03, King County, Washington",1888021,0,2527,1341,442,57,396,0,11,280,83792,2006,54,1952,1717,845,269,44,19
"53033025304","SL140","Census Tract 253.04, King County, Washington","Census Tract 253.04, King County, Washington",1854877,2019824,4153,2644,100,0,1133,0,17,259,130521,3137,54,3083,2631,1828,575,147,53
"53033025401","SL140","Census Tract 254.01, King County, Washington","Census Tract 254.01, King County, Washington",1199148,0,3764,1327,329,25,612,0,409,1062,74067,2743,415,2328,1694,932,399,63,49
"53033025402","SL140","Census Tract 254.02, King County, Washington","Census Tract 254.02, King County, Washington",1101467,0,3486,1348,485,92,609,0,367,585,101864,2568,426,2142,1655,595,230,35,9
"53033025500","SL140","Census Tract 255, King County, Washington","Census Tract 255, King County, Washington",1525774,0,5487,2602,755,0,1188,36,236,670,78800,3866,517,3349,2359,1078,351,74,0
"53033025601","SL140","Census Tract 256.01, King County, Washington","Census Tract 256.01, King County, Washington",2809358,0,5425,2357,303,141,1326,238,536,524,92500,3859,877,2982,2223,1338,292,74,52
"53033025602","SL140","Census Tract 256.02, King County, Washington","Census Tract 256.02, King County, Washington",5269485,0,6758,2892,183,1,2132,0,198,1352,167760,4761,248,4513,3651,2405,811,244,137
"53033025702","SL140","Census Tract 257.02, King County, Washington","Census Tract 257.02, King County, Washington",2782781,0,3448,1957,174,0,850,18,10,439,139609,2613,154,2459,2140,1419,463,161,104
"53033025703","SL140","Census Tract 257.03, King County, Washington","Census Tract 257.03, King County, Washington",944219,0,3272,1291,434,21,597,120,421,388,84346,2371,226,2145,1699,990,382,6,0
"53033025704","SL140","Census Tract 257.04, King County, Washington","Census Tract 257.04, King County, Washington",2923198,0,3999,2286,268,6,372,107,261,699,100422,2245,133,2112,1401,827,359,4,4
"53033025803","SL140","Census Tract 258.03, King County, Washington","Census Tract 258.03, King County, Washington",1343483,0,5153,1852,903,14,830,0,664,890,83284,3053,392,2661,1818,847,336,12,12
"53033025804","SL140","Census Tract 258.04, King County, Washington","Census Tract 258.04, King County, Washington",2364694,0,3761,2127,198,27,518,0,249,642,98281,2625,191,2434,1723,744,236,57,13
"53033025805","SL140","Census Tract 258.05, King County, Washington","Census Tract 258.05, King County, Washington",2427754,0,5134,2416,663,47,1149,31,143,685,97161,3674,358,3316,2653,1277,361,90,79
"53033025806","SL140","Census Tract 258.06, King County, Washington","Census Tract 258.06, King County, Washington",2936653,150317,5037,1382,591,9,1793,0,655,607,90750,3395,427,2968,2132,1425,441,43,24
"53033026001","SL140","Census Tract 260.01, King County, Washington","Census Tract 260.01, King County, Washington",2660203,0,5946,2187,1106,6,1661,0,24,962,120813,4247,303,3944,3146,1830,739,274,91
"53033026003","SL140","Census Tract 260.03, King County, Washington","Census Tract 260.03, King County, Washington",1133278,1607,4290,1024,1554,9,600,10,382,711,71429,2520,547,1973,1531,691,121,15,9
"53033026004","SL140","Census Tract 260.04, King County, Washington","Census Tract 260.04, King County, Washington",1634546,0,4321,1574,572,49,1447,0,435,244,108125,3451,450,3001,1989,887,280,105,42
"53033026101","SL140","Census Tract 261.01, King County, Washington","Census Tract 261.01, King County, Washington",2706290,7108,3726,882,1006,44,1057,0,212,525,91823,2816,223,2593,1920,1042,390,95,82
"53033026102","SL140","Census Tract 261.02, King County, Washington","Census Tract 261.02, King County, Washington",1576655,0,4016,1037,880,87,1225,34,397,356,57092,2815,514,2301,1770,1047,164,66,11
"53033026200","SL140","Census Tract 262, King County, Washington","Census Tract 262, King County, Washington",15480592,414809,5618,1780,970,36,690,216,1141,785,76399,4358,324,4034,3021,1594,642,85,61
"53033026300","SL140","Census Tract 263, King County, Washington","Census Tract 263, King County, Washington",4224982,323989,1717,380,231,90,687,8,190,131,89483,1110,159,951,570,260,70,0,0
"53033026400","SL140","Census Tract 264, King County, Washington","Census Tract 264, King County, Washington",4724321,294417,5844,2284,636,410,428,104,1342,640,79378,3549,735,2814,2218,729,152,0,0
"53033026500","SL140","Census Tract 265, King County, Washington","Census Tract 265, King County, Washington",2045074,1625,4282,1447,936,22,760,0,486,631,85952,2952,465,2487,1793,1202,405,31,0
"53033026600","SL140","Census Tract 266, King County, Washington","Census Tract 266, King County, Washington",1160392,0,2201,946,72,37,547,14,260,325,116250,1703,227,1476,1133,730,211,32,14
"53033026700","SL140","Census Tract 267, King County, Washington","Census Tract 267, King County, Washington",3084838,419292,6265,2904,1024,13,1192,0,833,299,101836,3865,568,3297,2773,1721,615,212,43
"53033026801","SL140","Census Tract 268.01, King County, Washington","Census Tract 268.01, King County, Washington",1541369,3031,5997,2260,790,53,1409,0,1114,371,82434,4154,587,3567,2370,1179,263,58,58
"53033026802","SL140","Census Tract 268.02, King County, Washington","Census Tract 268.02, King County, Washington",2043363,10508,6279,1991,283,50,1725,34,1290,906,85284,4428,731,3697,2877,1197,427,115,15
"53033027000","SL140","Census Tract 270, King County, Washington","Census Tract 270, King County, Washington",1978895,12525,3293,1707,59,105,800,14,266,342,113611,2294,363,1931,1377,836,274,81,14
"53033027100","SL140","Census Tract 271, King County, Washington","Census Tract 271, King County, Washington",1566609,0,4334,1403,508,20,980,0,882,541,72386,3225,825,2400,1579,657,158,21,8
"53033027200","SL140","Census Tract 272, King County, Washington","Census Tract 272, King County, Washington",3245737,84995,3086,1143,183,33,641,214,712,160,79871,2058,482,1576,952,406,149,25,16
"53033027300","SL140","Census Tract 273, King County, Washington","Census Tract 273, King County, Washington",3549643,5405,7194,2371,820,248,2294,170,750,541,110147,4741,1569,3172,2158,1073,280,24,24
"53033027400","SL140","Census Tract 274, King County, Washington","Census Tract 274, King County, Washington",3325455,0,5314,2562,267,85,1021,235,547,597,94617,3791,626,3165,2006,688,188,19,19
"53033027500","SL140","Census Tract 275, King County, Washington","Census Tract 275, King County, Washington",2229526,0,5001,2156,104,7,878,0,1158,698,78926,3674,668,3006,2071,975,299,76,16
"53033027600","SL140","Census Tract 276, King County, Washington","Census Tract 276, King County, Washington",2854131,1287642,4243,1976,316,0,287,12,944,708,93649,3105,473,2632,1984,1144,456,143,43
"53033027701","SL140","Census Tract 277.01, King County, Washington","Census Tract 277.01, King County, Washington",44170441,9762675,5180,4164,12,62,181,98,40,623,108101,3895,127,3768,2932,1925,715,242,158
"53033027702","SL140","Census Tract 277.02, King County, Washington","Census Tract 277.02, King County, Washington",51561262,23360279,4754,4015,24,1,67,0,32,615,130625,3927,74,3853,3396,1997,886,334,168
"53033027800","SL140","Census Tract 278, King County, Washington","Census Tract 278, King County, Washington",2582663,1104566,3384,2745,37,13,170,10,46,363,163182,2716,25,2691,2461,1621,745,253,97
"53033027901","SL140","Census Tract 279.01, King County, Washington","Census Tract 279.01, King County, Washington",1866613,156045,4257,3172,64,3,316,7,420,275,140000,3429,264,3165,2579,1601,531,232,197
"53033027902","SL140","Census Tract 279.02, King County, Washington","Census Tract 279.02, King County, Washington",1488964,0,3250,1687,194,79,224,114,581,371,73393,2599,386,2213,1584,758,300,69,39
"53033028000","SL140","Census Tract 280, King County, Washington","Census Tract 280, King County, Washington",1951003,0,3538,1387,667,0,476,0,527,481,85482,2174,207,1967,1472,652,155,15,9
